regione,active_real,active,interventions
Abruzzo,0.240228013,0.258143322,1228
Basilicata,0.13618677,0.085603113,257
Calabria,0.013429752,0.021694215,968
Campania,0.000603318,-0.001206637,3315
Emilia-Romagna,0.283794855,0.296903162,6103
Friuli Venezia Giulia,0.077769626,0.04108584,1363
Lazio,0.077936334,-0.031613611,4555
Liguria,0.092564492,-0.026555387,1318
Lombardia,0.22613915,0.219207034,11829
Marche,0.150284322,0.123476848,1231
Molise,0.173184358,0.184357542,179
Piemonte,0.131421744,0.199721227,5022
Puglia,0.033599328,0.038219236,2381
Toscana,0.160842197,0.194920773,4607
Trentino-Alto Adige,0.171942446,0.135971223,1390
Umbria,0.156403941,0.166256158,812
Valle d'Aosta,0.023809524,0.071428571,126
Veneto,0.141943974,0.108291032,5319
